h, theta, phi
-1.705724, 3.42653482, -0.183764701
-1.57146353, 3.42658048, -0.183768009
-1.51670716, 3.426573, -0.183780358
-1.47961033, 3.42654901, -0.183770823
-1.67957841, 3.42652229, -0.183750997
-1.68504741, 3.42654498, -0.183780288
-1.28870309, 3.42658822, -0.183789335
-1.58480536, 3.42660336, -0.183810627
-1.75624866, 3.42651982, -0.183788203
-1.61495198, 3.42650906, -0.183769611
-1.61576955, 3.42655096, -0.183781301
-1.35340604, 3.42659044, -0.183773667
-1.75743271, 3.42652888, -0.183785681
-1.44548116, 3.42657912, -0.183778509
-1.91423181, 3.42650985, -0.183776857
-1.42709069, 3.42658555, -0.183794482
-1.40036409, 3.42655087, -0.183783359
-1.67535758, 3.42656218, -0.183780243
-1.37309037, 3.42656419, -0.183757717
-1.28426051, 3.42658795, -0.183769061
-1.72194071, 3.42649587, -0.183747804
-1.39347752, 3.42656232, -0.183778658
-1.57383071, 3.42656859, -0.183785008
-1.43589364, 3.4265389, -0.183776341
-1.53480342, 3.4265686, -0.183785155
-1.72800785, 3.42651854, -0.183770088
-1.77433436, 3.42650647, -0.18377814
-1.61584713, 3.42653273, -0.183782732
-1.64624023, 3.42654449, -0.183763759
-1.36734595, 3.42657268, -0.183774747
-1.28698904, 3.42662056, -0.183780883
-1.81611837, 3.42654437, -0.183772766
-1.56001639, 3.42653504, -0.183766691
-1.73823772, 3.42656052, -0.183784808
-1.61178704, 3.42655704, -0.183774914
-1.70622781, 3.42656073, -0.183784473
-1.69934709, 3.4265245, -0.183774366
-1.41474549, 3.426573, -0.18376944
-1.48800944, 3.42659398, -0.183774619
-1.66506408, 3.4265348, -0.183781461
-1.61862335, 3.42656532, -0.183767245
-1.40356396, 3.42660952, -0.183791906
-1.49106565, 3.42656545, -0.183774827
-1.92545183, 3.42652113, -0.183762138
-1.78129951, 3.42652493, -0.18377203
-1.40856381, 3.4265795, -0.183772898
-1.82460403, 3.42649823, -0.183762832
-1.51094265, 3.42651752, -0.183764776
-1.49978779, 3.42654639, -0.183790529
-1.40661692, 3.42658008, -0.183769321
-1.66312321, 3.42656235, -0.183786145
-1.75560609, 3.42650403, -0.183757614
-1.61329658, 3.42653078, -0.183750968
-2.07039638, 3.42644786, -0.183756813
-1.23494617, 3.42661157, -0.183805137
-1.58684938, 3.42657134, -0.183786817
-1.65967267, 3.42653905, -0.183771874
-0.904487484, 3.42663684, -0.18379983
-1.61803853, 3.42654598, -0.183783376
-1.16623283, 3.42661954, -0.183762977
-1.49779352, 3.42654395, -0.183775297
-1.55233442, 3.42662822, -0.183807147
-1.65754204, 3.4265227, -0.183777232
-1.62853661, 3.42653232, -0.18376511
-1.21206432, 3.42664405, -0.183784289
-1.36898141, 3.42658338, -0.183809473
-1.47368745, 3.42657384, -0.183776568
-1.98092678, 3.42649051, -0.18380074
-1.53608777, 3.42656338, -0.183772898
-1.51247268, 3.42656051, -0.183780985
-1.63417836, 3.42654152, -0.183778911
-1.20193724, 3.42659862, -0.183778161
-1.30722696, 3.4265902, -0.183781183
-1.57905421, 3.42655962, -0.183785702
-1.72921607, 3.42654207, -0.183764165
-1.5801952, 3.42657961, -0.183779902
-1.5467976, 3.42656322, -0.183775159
-1.66929004, 3.42653294, -0.183777079
-1.39848967, 3.42658784, -0.183753387
-1.55815028, 3.42654059, -0.18378063
-1.52033598, 3.42655974, -0.183790999
-1.51693034, 3.42658978, -0.183768358
-1.419679, 3.42653992, -0.183771689
-1.64281576, 3.42650275, -0.183751817
-1.79864552, 3.42654897, -0.183753283
-1.32641891, 3.42658307, -0.183779504
-1.55670355, 3.42653387, -0.183769416
-1.62964236, 3.42654212, -0.18376146
-1.37174692, 3.42659636, -0.183816251
-1.1827618, 3.42659472, -0.183791499
-1.61944747, 3.42656034, -0.183775155
-1.45031019, 3.42655846, -0.183766642
-1.48313175, 3.42655228, -0.183771216
-1.82213955, 3.42650227, -0.183770913
-1.83052644, 3.42655177, -0.183758597
-1.55163609, 3.42657463, -0.183759092
-1.51030842, 3.42657016, -0.183760648
-1.44321214, 3.42655652, -0.183793689
-1.53783748, 3.42657148, -0.183793211
-1.44350722, 3.42655354, -0.183757865
-1.66200737, 3.42653347, -0.183758862
-1.36465593, 3.42657764, -0.183792724
-1.75183227, 3.42650598, -0.183748821
-1.72721266, 3.42650809, -0.183763333
-1.40538858, 3.42660218, -0.183757835
-1.36322729, 3.42662026, -0.183754761
-1.57640572, 3.42654522, -0.183765478
-1.39418192, 3.4265826, -0.183759327
-1.63360732, 3.42655157, -0.183777025
-1.33166939, 3.42657269, -0.183759409
-1.45039623, 3.42656697, -0.183784638
-1.36727109, 3.4265898, -0.183786023
-1.32837669, 3.4266027, -0.183777982
-1.58058994, 3.42658289, -0.183787754
-1.70502578, 3.42651387, -0.183772519
-1.36039388, 3.42656671, -0.183780442
-1.98855192, 3.42652089, -0.18377424
-1.39793881, 3.42656232, -0.183790598
-1.24317989, 3.42660985, -0.183809531
-1.44027764, 3.42658413, -0.18375516
-1.33958789, 3.42658311, -0.183793926
-1.64962801, 3.42649295, -0.183753588
-1.51043984, 3.42657965, -0.183769349
-1.39299384, 3.42663306, -0.183787525
-1.87753954, 3.42653424, -0.18376878
