h, theta, phi
-1.75196854, 3.42654238, -0.18374297
-1.89183824, 3.42652107, -0.183791108
-1.70365876, 3.42654284, -0.183793371
-1.46897372, 3.42658435, -0.183780642
-1.54652119, 3.42654589, -0.183768858
-1.46983143, 3.4265679, -0.183784802
-1.26306967, 3.42659987, -0.183761344
-1.57912736, 3.4265633, -0.183748574
-1.68215278, 3.42652235, -0.183791054
-1.55968736, 3.4265485, -0.18377135
-1.31867818, 3.42656697, -0.183766932
-1.47014547, 3.42662031, -0.183766819
-1.66032071, 3.42648706, -0.183780277
-1.64452353, 3.42656071, -0.183777702
-1.27933454, 3.42661697, -0.183769061
-1.73339295, 3.42654263, -0.1837695
-1.44556903, 3.42661578, -0.183810412
-1.51060339, 3.4265555, -0.183776833
-1.80372097, 3.42650582, -0.183790716
-1.70590069, 3.42652715, -0.183795163
-1.20298862, 3.426647, -0.183774868
-1.82991024, 3.42649936, -0.183743923
-1.69164494, 3.42652735, -0.183758596
-1.6656521, 3.42654751, -0.183803285
-1.2543477, 3.42660009, -0.183756332
-1.56521198, 3.42657631, -0.183756777
-1.49356271, 3.42658384, -0.183799368
-1.67964594, 3.42653464, -0.183753023
-1.55353973, 3.42656527, -0.183780074
-1.42240657, 3.42660745, -0.183831854
-1.42751236, 3.42653729, -0.183807725
-1.48168844, 3.42659418, -0.183722566
-1.87443709, 3.42651254, -0.183778884
-1.66306573, 3.42653756, -0.18375651
-1.65085065, 3.42651664, -0.183770262
-1.76479908, 3.42655525, -0.183750202
-1.48617088, 3.42658286, -0.183761903
-1.42624566, 3.4265957, -0.183751746
-1.44232149, 3.42657729, -0.183794133
-1.32392444, 3.42657624, -0.183802199
-1.53240128, 3.42656743, -0.183753625
-1.81106677, 3.42647258, -0.183778186
-1.37846002, 3.42660176, -0.183786901
-1.55318204, 3.42658439, -0.183787101
-1.2862604, 3.42660445, -0.183758526
-1.82535068, 3.42654491, -0.183757857
-1.42608818, 3.42658126, -0.183768293
-1.2531383, 3.42662275, -0.183763883
-1.72056685, 3.42652664, -0.183805627
-1.78952731, 3.4265117, -0.183801217
-1.63895024, 3.42654725, -0.183770189
-1.58200405, 3.42653153, -0.183782661
-1.62127238, 3.42651806, -0.183727861
-1.5196548, 3.42659699, -0.183761662
-1.23239357, 3.4266015, -0.18376599
-1.64244273, 3.42651365, -0.183762414
-1.39707613, 3.42660129, -0.183770473
-1.39344311, 3.426561, -0.183802725
-1.7162882, 3.42654007, -0.183791577
-1.71441883, 3.42647729, -0.183800863
-1.84552166, 3.42647151, -0.183772659
-1.72939676, 3.42653106, -0.183798512
