h, theta, phi
-1.74472145, 3.42651886, -0.183775296
-1.5185575, 3.42658254, -0.183782504
-1.76435842, 3.42655287, -0.183759891
-1.66121902, 3.42653935, -0.183780255
-1.55059001, 3.42654283, -0.18377215
-1.39714233, 3.42658969, -0.183781902
-1.46611854, 3.42655973, -0.183783789
-1.85684512, 3.42649423, -0.183754183
-1.65746398, 3.42653901, -0.183771821
-1.66537533, 3.42653355, -0.183761854
-1.32008372, 3.42660682, -0.183781413
-1.48407164, 3.42655308, -0.183770973
-1.70215472, 3.42653674, -0.183767849
-1.80112162, 3.42653642, -0.183779615
-1.3878319, 3.42659818, -0.183783532
-1.48159975, 3.42657743, -0.183785559
-1.90495558, 3.42650698, -0.183755737
-1.5068588, 3.42655898, -0.183777839
-1.86637198, 3.42651519, -0.183761499
-1.91873207, 3.42649293, -0.183743547
-1.56661719, 3.42654612, -0.183791771
-1.30883675, 3.42657741, -0.183777768
-1.56919569, 3.42654405, -0.183764245
-1.63378446, 3.42655239, -0.183782772
-1.80635558, 3.4265216, -0.183753066
-1.75476408, 3.42652317, -0.183756443
-1.81955211, 3.42652482, -0.183762014
-1.62253784, 3.42655359, -0.18378116
-1.7616446, 3.42652167, -0.183767913
-1.43600292, 3.42657136, -0.183781658
-1.63750972, 3.42652856, -0.183758166
-1.63450073, 3.42655404, -0.183767553
-1.77618162, 3.4265156, -0.183758496
-1.53098758, 3.42655427, -0.183761733
-1.76925873, 3.4265332, -0.183771069
-1.55993097, 3.42656544, -0.183776025
-1.79699306, 3.42653521, -0.183758672
-1.91523317, 3.42650918, -0.183768247
-1.63062848, 3.42654604, -0.183770058
-1.57547486, 3.4265617, -0.183775714
-1.6026146, 3.42657947, -0.183781007
-1.55193554, 3.42657462, -0.183773811
-1.67072393, 3.42653165, -0.183764472
-1.65726736, 3.426546, -0.183781982
-1.5375452, 3.42655309, -0.183766632
-1.78667159, 3.42649805, -0.183766308
-1.47819513, 3.42657548, -0.183782486
-1.8015524, 3.42653711, -0.183776243
-1.39934744, 3.42659345, -0.183784248
-1.46239031, 3.42659211, -0.183793771
-1.28861016, 3.42661623, -0.183796449
-1.51350152, 3.42655152, -0.183791245
-1.60261569, 3.4265462, -0.183769769
-1.91014044, 3.42650184, -0.183750265
-1.63908367, 3.42652312, -0.18376249
-1.39217522, 3.42660188, -0.183778983
-1.70032141, 3.42653799, -0.183771294
-1.59720646, 3.42653169, -0.18377352
-1.68371556, 3.426495, -0.183756417
-1.52886076, 3.42656531, -0.183784766
-1.80231271, 3.42653106, -0.183762087
-1.53369797, 3.42658539, -0.183782294
-1.42852437, 3.42659233, -0.18378791
-1.50208119, 3.42652426, -0.183766899
-1.45014211, 3.42656099, -0.183780633
-1.70080023, 3.42652071, -0.183762561
-1.53769582, 3.426564, -0.183771112
-1.48114277, 3.4265471, -0.183772541
-1.53474048, 3.42655404, -0.183781792
-1.49861924, 3.42655894, -0.183778823
-1.50164965, 3.4265612, -0.183782422
-1.60189696, 3.42653942, -0.183768939
-1.61764874, 3.42652916, -0.183769025
-1.54200805, 3.42657258, -0.183776209
-1.77557428, 3.4265189, -0.183770356
-1.67359235, 3.4265667, -0.183770639
-1.67750074, 3.42655801, -0.183773939
-1.48068187, 3.42655166, -0.183773119
