h, theta, phi
-1.83302619, 3.4264951, -0.183812672
-1.51434307, 3.42659646, -0.183782725
-1.73283321, 3.42657939, -0.183742516
-1.73191054, 3.42652388, -0.183811547
-1.53732181, 3.42653731, -0.183765667
-1.34572021, 3.42660646, -0.18376188
-1.47767344, 3.42655054, -0.183790964
-1.88131204, 3.42648091, -0.183758858
-1.67819466, 3.42653425, -0.183779692
-1.63609941, 3.4265375, -0.183745857
-1.22492488, 3.42663638, -0.183742664
-1.43336488, 3.42655568, -0.183748282
-1.71544865, 3.42653678, -0.183771515
-1.91305744, 3.42652398, -0.183828191
-1.33421934, 3.42661978, -0.183763032
-1.48950653, 3.42658167, -0.183791712
-1.93945112, 3.42650421, -0.183765117
-1.49672187, 3.42655837, -0.183774231
-1.91435457, 3.42651058, -0.183778135
-1.90091436, 3.42649461, -0.183727512
-1.66903404, 3.42651808, -0.183839594
-1.21995988, 3.42658607, -0.18374063
-1.51414911, 3.42655065, -0.183737937
-1.69723979, 3.42654389, -0.183811703
-1.78041461, 3.42653163, -0.183736165
-1.7315013, 3.42652834, -0.183741561
-1.84640447, 3.42652625, -0.183769864
-1.67197026, 3.42654786, -0.18380372
-1.80894518, 3.42651065, -0.183785971
-1.41396007, 3.42657399, -0.183774019
-1.58367337, 3.42653214, -0.183730743
-1.60770609, 3.42656707, -0.183754173
-1.77924038, 3.42651228, -0.183755296
-1.43922693, 3.42657168, -0.183719175
-1.82513425, 3.42652819, -0.183793633
-1.54828607, 3.42657458, -0.183771332
-1.7866641, 3.42654923, -0.183749913
-2.02360747, 3.42649214, -0.183812206
-1.62568312, 3.42654875, -0.183766587
-1.57058025, 3.42656855, -0.183773796
-1.61800426, 3.42659555, -0.183789163
-1.51536471, 3.42659432, -0.183757973
-1.66030392, 3.42653069, -0.183757164
-1.72985632, 3.42653384, -0.183814557
-1.47748786, 3.42656324, -0.183738842
-1.85695239, 3.42646966, -0.183793603
-1.46923788, 3.42658199, -0.183780654
-1.89318864, 3.42652973, -0.183815334
-1.35828447, 3.42661043, -0.183769265
-1.49696368, 3.4265975, -0.18381347
-1.26158422, 3.42663298, -0.183790701
-1.59127539, 3.42652702, -0.183828494
-1.58745554, 3.42654848, -0.183761878
-1.91962586, 3.42650203, -0.183747594
-1.61662391, 3.42651638, -0.183749512
-1.30953054, 3.42663282, -0.183744942
-1.73186221, 3.42653448, -0.183783613
-1.61753182, 3.42651635, -0.183781636
-1.6687209, 3.42647357, -0.183744924
-1.55899569, 3.42656175, -0.18380012
-1.81787067, 3.42653719, -0.183765188
-1.52979172, 3.42660254, -0.183782603
-1.41863994, 3.4266045, -0.18378716
-1.4632619, 3.42650805, -0.183748097
-1.43723254, 3.42655652, -0.183776578
-1.69971395, 3.42651387, -0.183758679
-1.49231915, 3.42657763, -0.18375078
-1.44495582, 3.4265424, -0.183756416
-1.56114043, 3.4265449, -0.183794738
-1.49178817, 3.42655673, -0.183776878
-1.51431893, 3.42655628, -0.183789721
-1.58881071, 3.42653694, -0.183761687
-1.62055035, 3.42651825, -0.183768554
-1.51858664, 3.42658702, -0.183766581
-1.84422646, 3.42650274, -0.183798099
-1.66313974, 3.42658788, -0.183765061
-1.69659509, 3.42656748, -0.183781741
-1.44293819, 3.4265501, -0.1837565
-1.53677388, 3.42658687, -0.18374426
-1.60650609, 3.42655742, -0.183789699
-1.57757061, 3.42655956, -0.183758742
-1.48562767, 3.42658691, -0.183760422
-1.41437889, 3.4265882, -0.183762696
-1.05532563, 3.42661869, -0.183783918
-1.41820972, 3.4265693, -0.183789831
-1.49091267, 3.42656187, -0.183794899
-1.64099202, 3.42656123, -0.183799824
-1.8909609, 3.42647918, -0.18381184
-1.09933473, 3.42661996, -0.183761635
-1.69362759, 3.42653139, -0.183730393
-1.37513298, 3.42657845, -0.183787982
-1.40393021, 3.42659089, -0.18374731
-1.64553138, 3.42650655, -0.183762808
-1.17392599, 3.42666057, -0.183790423
-1.71905641, 3.42653443, -0.183781837
-1.68458103, 3.4265073, -0.183779177
-1.50097116, 3.42652782, -0.18375409
-1.9099647, 3.42651309, -0.183782008
-1.54638168, 3.42660373, -0.183783311
-1.46171721, 3.42658013, -0.183827247
-1.52379112, 3.42656441, -0.18378622
-1.58969849, 3.42654247, -0.183799633
-1.51562964, 3.42652585, -0.183783928
-1.164993, 3.42659762, -0.183756366
-1.53478504, 3.4266094, -0.183746147
-1.30696729, 3.42657124, -0.183795947
-1.54516949, 3.42662084, -0.18381086
-1.39196243, 3.42658467, -0.18373246
-1.85131542, 3.42652449, -0.183795719
-1.55391989, 3.42659966, -0.183751372
-1.46220648, 3.42656101, -0.18380006
-1.32043821, 3.42659671, -0.183777377
-1.74053936, 3.42652023, -0.183778004
-1.37387308, 3.42662057, -0.183786543
-1.84136196, 3.42648545, -0.18376877
-1.39043287, 3.42656181, -0.1837288
-1.76297321, 3.42653537, -0.183823061
-1.55100323, 3.42653337, -0.183791234
-1.21656352, 3.42664275, -0.183738334
-1.67240747, 3.42654818, -0.183786639
-1.56473878, 3.42655402, -0.183751056
-1.40796357, 3.42653618, -0.183757307
-1.77849052, 3.42649363, -0.183806307
-1.71038886, 3.42650756, -0.183776542
-1.50325319, 3.42661557, -0.183772458
-2.00451472, 3.42649325, -0.183808745
-1.68146523, 3.42654569, -0.183814623
-1.53996729, 3.42657404, -0.18377707
-1.52999431, 3.42658238, -0.183778402
-1.68887299, 3.42652276, -0.183760349
-1.42696576, 3.42655715, -0.183800458
-1.4061242, 3.42656127, -0.183765118
-1.56072758, 3.42660835, -0.183747076
-1.65264194, 3.42651574, -0.183784695
-1.51610908, 3.42656207, -0.183748431
-1.52099534, 3.42658956, -0.183767802
-1.50129006, 3.42659255, -0.183780088
-1.81584231, 3.42650662, -0.183779849
-1.8926796, 3.4264893, -0.18378736
-1.37950331, 3.42657111, -0.183762773
-1.80352173, 3.42651811, -0.183743731
-1.39923309, 3.42660135, -0.183771309
-1.64409395, 3.42654447, -0.183811811
-1.42751093, 3.42663982, -0.183771471
-1.44165714, 3.42651803, -0.183752999
-1.61465625, 3.42655924, -0.18377204
-1.31990064, 3.42661314, -0.183771199
-1.50369499, 3.4265508, -0.183801887
-1.85603736, 3.42647828, -0.183777573
-1.69857791, 3.42650884, -0.183756143
-1.45875258, 3.42658618, -0.183809046
-1.61465128, 3.42653396, -0.183774766
-1.80033047, 3.42646745, -0.183746254
-1.59988349, 3.42662557, -0.183821194
-1.71201986, 3.42652977, -0.183770045
-1.63091601, 3.42657145, -0.183777778
-1.82570991, 3.42653395, -0.183820297
-1.75349957, 3.42658287, -0.183823896
-1.56044205, 3.42659059, -0.183778624
-1.48216073, 3.42654018, -0.183725413
-1.56924389, 3.42659225, -0.183797581
-1.89997021, 3.42650764, -0.183811079
-1.85328906, 3.42650264, -0.183774637
-1.45879667, 3.42653811, -0.183779037
-1.48939683, 3.42658626, -0.183808493
-1.45218225, 3.4265526, -0.183847184
-1.69843987, 3.42655106, -0.183799266
-1.71855724, 3.42653575, -0.183771502
-1.57455884, 3.42651562, -0.183782654
-1.42169538, 3.42654046, -0.183770321
-1.32115812, 3.4265756, -0.183752565
-1.21301922, 3.4266323, -0.183774525
-1.59398511, 3.42658432, -0.183766847
-1.45714522, 3.42654946, -0.183777239
-1.84284922, 3.42648468, -0.183825705
-1.26230288, 3.42660606, -0.183752041
-1.7258255, 3.42651867, -0.183787638
-1.73563284, 3.42654294, -0.183766711
-1.51343961, 3.42656693, -0.183792357
-1.52956826, 3.42655295, -0.183733757
-1.93146279, 3.42648268, -0.183752026
-1.85297849, 3.42648613, -0.18375822
-1.41288257, 3.42658018, -0.183730602
-1.45682619, 3.42658046, -0.183745765
-1.5269931, 3.42654781, -0.183773215
-1.48184389, 3.42660071, -0.183774824
-1.88352271, 3.42650778, -0.183791751
-1.27280404, 3.42662473, -0.183733901
-1.762152, 3.42653527, -0.183761156
-1.70434964, 3.42650867, -0.183793471
-1.85495922, 3.42652539, -0.183775304
-1.38684583, 3.42660161, -0.18378459
-1.44873725, 3.42659193, -0.183779671
