h, rho, T, P
0, 5.4492, 93.28, 146872
10000, 3.23182, 87.625, 82384.6
20000, 1.91673, 81.97, 46021.3
30000, 1.13678, 76.315, 25587.1
40000, 0.6742, 70.66, 14148.6
50000, 0.348259, 83.8975, 8691.62
60000, 0.179893, 97.135, 5206.44
70000, 0.092924, 110.373, 3060.84
80000, 0.048, 123.61, 1773.58
90000, 0.0338702, 130.458, 1320.86
100000, 0.0238998, 137.305, 980.998
110000, 0.0168644, 144.153, 726.769
120000, 0.0119, 151, 537.21
130000, 0.0092067, 153.221, 421.739
140000, 0.00712297, 155.442, 331.018
150000, 0.00551084, 157.663, 259.76
160000, 0.00426359, 159.884, 203.801
170000, 0.00329862, 162.105, 159.866
180000, 0.00255205, 164.326, 125.379
190000, 0.00197445, 166.547, 98.3133
200000, 0.00152758, 168.768, 77.0768
210000, 0.00118184, 170.989, 60.4172
220000, 0.00091436, 173.21, 47.3504
230000, 0.000737328, 173.833, 38.3199
240000, 0.000594571, 174.455, 31.0114
250000, 0.000479455, 175.078, 25.0964
260000, 0.000386626, 175.7, 20.3093
270000, 0.00031177, 176.322, 16.4352
280000, 0.000251407, 176.945, 13.2999
290000, 0.000202731, 177.567, 10.7626
300000, 0.00016348, 178.19, 8.70926
310000, 0.000133879, 176.482, 7.06392
320000, 0.000109638, 174.774, 5.72888
330000, 8.97858e-05, 173.066, 4.64572
340000, 7.35285e-05, 171.358, 3.76698
350000, 6.02148e-05, 169.65, 3.05415
360000, 4.93118e-05, 167.942, 2.47596
370000, 4.0383e-05, 166.234, 2.00702
380000, 3.30709e-05, 164.526, 1.62672
390000, 2.70828e-05, 162.818, 1.31835
400000, 2.2179e-05, 161.11, 1.06831
410000, 1.81631e-05, 159.402, 0.865598
420000, 1.48743e-05, 157.694, 0.70127
430000, 1.21811e-05, 155.986, 0.568072
440000, 9.97545e-06, 154.278, 0.460119
450000, 8.16921e-06, 152.57, 0.372634
460000, 6.69003e-06, 150.862, 0.301746
470000, 5.47868e-06, 149.154, 0.244311
480000, 4.48666e-06, 147.446, 0.197783
490000, 3.67427e-06, 145.738, 0.160095
500000, 3.00898e-06, 144.03, 0.12957
510000, 2.46415e-06, 142.322, 0.104851
520000, 2.01797e-06, 140.614, 0.0848352
530000, 1.65258e-06, 138.906, 0.0686303
540000, 1.35335e-06, 137.198, 0.0555125
550000, 1.1083e-06, 135.49, 0.044895
560000, 8.92938e-07, 136.552, 0.0364546
570000, 7.19425e-07, 137.614, 0.0295993
580000, 5.79628e-07, 138.676, 0.0240317
590000, 4.66997e-07, 139.738, 0.0195102
600000, 3.76251e-07, 140.8, 0.0158385
610000, 3.03139e-07, 141.862, 0.0128571
620000, 2.44234e-07, 142.924, 0.0104363
630000, 1.96775e-07, 143.986, 0.00847079
640000, 1.58538e-07, 145.048, 0.00687511
650000, 1.27732e-07, 146.11, 0.00557971
660000, 1.02911e-07, 147.172, 0.00452815
670000, 8.29138e-08, 148.234, 0.00367458
680000, 6.68022e-08, 149.296, 0.00298176
690000, 5.38214e-08, 150.358, 0.00241944
700000, 4.3363e-08, 151.42, 0.00196307
710000, 3.67171e-08, 152.599, 0.00167515
720000, 3.10897e-08, 153.778, 0.00142937
730000, 2.63248e-08, 154.957, 0.00121958
740000, 2.22902e-08, 156.136, 0.00104052
750000, 1.8874e-08, 157.315, 0.0008877
760000, 1.59813e-08, 158.494, 0.000757282
770000, 1.35319e-08, 159.673, 0.000645989
780000, 1.1458e-08, 160.852, 0.000551022
790000, 9.70192e-09, 162.031, 0.00046999
800000, 8.21498e-09, 163.21, 0.000400854
810000, 6.95593e-09, 164.389, 0.00034187
820000, 5.88984e-09, 165.568, 0.00029155
830000, 4.98715e-09, 166.747, 0.000248624
840000, 4.22281e-09, 167.926, 0.000212008
850000, 3.57561e-09, 169.105, 0.000180775
860000, 3.0276e-09, 170.284, 0.000154137
870000, 2.56358e-09, 171.463, 0.000131417
880000, 2.17068e-09, 172.642, 0.000112041
890000, 1.838e-09, 173.821, 9.55169e-05
900000, 1.5563e-09, 175, 8.14263e-05
910000, 1.37372e-09, 175, 7.18736e-05
920000, 1.21256e-09, 175, 6.34416e-05
930000, 1.0703e-09, 175, 5.59988e-05
940000, 9.44739e-10, 175, 4.94292e-05
950000, 8.33905e-10, 175, 4.36303e-05
960000, 7.36074e-10, 175, 3.85117e-05
970000, 6.4972e-10, 175, 3.39936e-05
980000, 5.73496e-10, 175, 3.00056e-05
990000, 5.06215e-10, 175, 2.64854e-05
1e+06, 4.46828e-10, 175, 2.33782e-05
1.01e+06, 3.94407e-10, 175, 2.06355e-05
1.02e+06, 3.48136e-10, 175, 1.82146e-05
1.03e+06, 3.07294e-10, 175, 1.60778e-05
1.04e+06, 2.71243e-10, 175, 1.41916e-05
1.05e+06, 2.39422e-10, 175, 1.25266e-05
1.06e+06, 2.11333e-10, 175, 1.10571e-05
1.07e+06, 1.8654e-10, 175, 9.75987e-06
1.08e+06, 1.64656e-10, 175, 8.61487e-06
1.09e+06, 1.45339e-10, 175, 7.6042e-06
1.1e+06, 1.28288e-10, 175, 6.71209e-06
1.11e+06, 1.13238e-10, 175, 5.92465e-06
1.12e+06, 9.99531e-11, 175, 5.22959e-06
1.13e+06, 8.82269e-11, 175, 4.61607e-06
1.14e+06, 7.78763e-11, 175, 4.07452e-06
1.15e+06, 6.87401e-11, 175, 3.59651e-06
1.16e+06, 6.06757e-11, 175, 3.17458e-06
1.17e+06, 5.35574e-11, 175, 2.80215e-06
1.18e+06, 4.72742e-11, 175, 2.47341e-06
1.19e+06, 4.17281e-11, 175, 2.18323e-06
1.2e+06, 3.68327e-11, 175, 1.9271e-06
1.21e+06, 3.25116e-11, 175, 1.70102e-06
1.22e+06, 2.86974e-11, 175, 1.50146e-06
1.23e+06, 2.53307e-11, 175, 1.32531e-06
1.24e+06, 2.2359e-11, 175, 1.16983e-06
1.25e+06, 1.97359e-11, 175, 1.03259e-06
1.26e+06, 1.74205e-11, 175, 9.1145e-07
1.27e+06, 1.53768e-11, 175, 8.04521e-07
1.28e+06, 1.35728e-11, 175, 7.10137e-07
1.29e+06, 1.19805e-11, 175, 6.26826e-07
1.3e+06, 1.0575e-11, 175, 5.53288e-07
